continent,location,total_cases,total_deaths,total_cases_per_million,total_deaths_per_million,population,population_density,median_age,life_expectancy,human_development_index
North America,Anguilla,3,0,199.973,0,15002,NA,NA,81.88,NA
Asia,Bhutan,313,0,405.644,0,771612,21.188,28.6,71.78,0.612
North America,Dominica,32,0,444.5,0,71991,98.567,NA,75,0.715
Africa,Eritrea,414,0,116.737,0,3546427,44.304,19.3,66.32,0.44
South America,Falkland Islands,13,0,3732.415,0,3483,NA,NA,81.44,NA
Europe,Faeroe Islands,477,0,9761.588,0,48865,35.308,NA,80.67,NA
Europe,Gibraltar,499,0,14811.077,0,33691,3457.1,NA,79.93,NA
North America,Grenada,25,0,222.185,0,112519,317.132,29.4,72.4,0.772
North America,Greenland,16,0,281.829,0,56772,0.137,NA,71.7,NA
Asia,Cambodia,283,0,16.927,0,16718971,90.672,25.6,69.82,0.582
North America,Saint Kitts and Nevis,19,0,357.197,0,53192,212.865,NA,76.23,0.778
Asia,Laos,23,0,3.161,0,7275556,29.715,24.4,67.92,0.601
North America,Saint Lucia,29,0,157.927,0,183629,293.187,34.9,76.2,0.747
Asia,Mongolia,320,0,97.612,0,3278292,1.98,28.6,69.87,0.741
Oceania,New Caledonia,27,0,94.574,0,285491,15.342,33.4,77.55,NA
Africa,Seychelles,148,0,1504.983,0,98340,208.354,36.2,73.4,0.797
Asia,Timor,29,0,21.996,0,1318442,87.176,18,69.5,0.625
Europe,Vatican,19,0,23485.785,0,809,NA,NA,75.12,NA
North America,Saint Vincent and the Grenadines,64,0,576.852,0,110947,281.787,31.8,72.53,0.723
Africa,Burundi,529,1,44.488,0.084,11890781,423.062,17.5,61.58,0.417
North America,Curacao,619,1,3772.09,6.094,164100,362.644,41.7,78.88,NA
North America,Cayman Islands,221,1,3362.751,15.216,65720,256.496,NA,83.92,NA
Africa,Western Sahara,766,1,1282.373,1.674,597330,NA,28.4,70.26,NA
Europe,Liechtenstein,155,1,4064.295,26.221,38137,237.012,NA,82.49,0.916
Europe,Monaco,241,1,6141.066,25.482,39244,19347.5,NA,86.75,NA
North America,Montserrat,13,1,2600.52,200.04,4999,NA,NA,74.16,NA
North America,British Virgin Islands,71,1,2348.117,33.072,30237,207.973,NA,79.07,NA
North America,Bonaire Sint Eustatius and Saba,150,2,5720.606,76.275,26221,NA,NA,77.79,NA
Oceania,Fiji,32,2,35.697,2.231,896444,49.562,28.6,67.44,0.741
Oceania,Northern Mariana Islands,77,2,1337.804,34.748,57557,119.878,NA,76.74,NA
North America,Antigua and Barbuda,111,3,1133.486,30.635,97928,231.845,32.1,77.02,0.78
Asia,Brunei,146,3,333.727,6.857,437483,81.347,32.4,75.86,0.853
North America,Turks and Caicos Islands,696,6,17976.135,154.967,38718,37.312,NA,80.22,NA
North America,Barbados,210,7,730.763,24.359,287371,664.463,39.8,79.19,0.8
Africa,Comoros,496,7,570.38,8.05,869595,437.352,20.4,64.32,0.503
Oceania,Papua New Guinea,575,7,64.267,0.782,8947027,18.22,22.6,64.5,0.544
Asia,Taiwan,530,7,22.253,0.294,23816775,NA,42.2,80.46,NA
