continent,location,total_cases_per_million,total_deaths_per_million,median_age,gdp_per_capita,life_expectancy,human_development_index
Europe,Switzerland,7594.327,208.79,43.1,57410.166,83.78,0.944
Europe,Norway,2884.763,51.095,39.7,64800.057,82.4,0.953
North America,Anguilla,199.973,0,n/a,n/a,81.88,n/a
North America,Aruba,39609.988,299.721,41.2,35973.781,76.29,n/a
North America,Bermuda,2970.79,144.525,n/a,50669.315,82.59,n/a
North America,Bonaire Sint Eustatius and Saba,5720.606,76.275,n/a,n/a,77.79,n/a
North America,British Virgin Islands,2348.117,33.072,n/a,n/a,79.07,n/a
North America,Cayman Islands,3362.751,15.216,n/a,49903.029,83.92,n/a
North America,Curacao,3772.09,6.094,41.7,n/a,78.88,n/a
Europe,Faeroe Islands,9761.588,0,n/a,n/a,80.67,n/a
South America,Falkland Islands,3732.415,0,,n/a,81.44,n/a
Oceania,French Polynesia,11352.633,39.159,32.7,n/a,77.66,n/a
Europe,Gibraltar,14811.077,0,n/a,n/a,79.93,n/a
North America,Greenland,281.829,0,,n/a,71.7,n/a
Oceania,Guam,19350.29,361.411,31.4,n/a,80.07,n/a
Europe,Guernsey,3847.76,193.879,n/a,n/a,,n/a
Europe,Isle of Man,4069.056,282.247,,n/a,81.4,n/a
Europe,Jersey,4778.724,316.603,,n/a,,n/a
Europe,Kosovo,8383.805,330.096,,9795.834,,n/a
Europe,Monaco,6141.066,25.482,,n/a,86.75,n/a
North America,Montserrat,2600.52,200.04,,n/a,74.16,n/a
Oceania,New Caledonia,94.574,0,33.4,n/a,77.55,n/a
Oceania,Northern Mariana Islands,1337.804,34.748,n/a,n/a,76.74,n/a
North America,Puerto Rico,19064.331,257.966,38.2,35044.67,80.1,n/a
Europe,San Marino,22158.053,1237.551,n/a,56861.47,84.97,n/a
North America,Sint Maarten (Dutch part),16766.942,513.036,n/a,36327.232,78.95,n/a
Africa,Somalia,243.123,6.229,16.8,n/a,57.4,n/a
Asia,Taiwan,22.253,0.294,42.2,n/a,80.46,n/a
North America,Turks and Caicos Islands,17976.135,154.967,n/a,n/a,80.22,n/a
North America,United States Virgin Islands,12717.505,191.529,42.2,n/a,80.58,n/a
Europe,Vatican,23485.785,0,n/a,n/a,75.12,n/a
Africa,Western Sahara,1282.373,1.674,28.4,n/a,70.26,n/a
