continent,location,total_cases_per_million,total_deaths_per_million,population_density,median_age,gdp_per_capita,life_expectancy,human_development_index
Europe,France,11589.265,504.539,122.578,42,38605.671,82.66,0.901
Oceania,Northern Mariana Islands,1337.804,34.748,119.878,NA,NA,76.74,NA
Asia,Azerbaijan,4179.926,60.36,119.309,32.4,15847.419,73,0.757
Europe,Slovakia,3825.525,11.173,113.128,41.2,30155.152,77.54,0.855
Asia,United Arab Emirates,10981.153,45.296,112.442,34,67293.483,77.97,0.863
Europe,Portugal,8740.175,206.93,112.371,46.2,27936.896,82.05,0.847
North America,Cuba,531.227,10.859,110.408,43.1,NA,78.8,0.777
Asia,Jordan,2756.7,22.052,109.285,23.2,8337.49,74.53,0.735
Europe,Hungary,4221.586,105.897,108.043,43.4,26777.561,76.88,0.838
Europe,Austria,6413.439,97.597,106.749,44.4,45436.686,81.54,0.908
Africa,Ethiopia,745.61,11.351,104.957,19.8,1729.927,66.6,0.463
Asia,Turkey,4016.869,106.202,104.914,31.6,25129.341,77.69,0.791
Europe,Albania,5473.626,149.072,104.871,38,11803.431,78.57,0.785
Africa,Sierra Leone,289.458,9.026,104.7,19.1,1390.3,54.7,0.419
Asia,Armenia,19783.79,350.63,102.931,35.7,8787.58,75.09,0.755
Europe,Slovenia,4440.261,70.709,102.619,44.5,31400.84,81.32,0.896
Africa,Benin,198.875,3.382,99.11,18.8,2064.236,61.77,0.515
North America,Dominica,444.5,0,98.567,NA,9673.367,75,0.715
Africa,Egypt,1023.966,59.325,97.999,25.3,10550.206,71.99,0.696
Asia,Malaysia,521.535,5.036,96.254,29.9,26808.164,76.16,0.802
North America,Costa Rica,17714.17,220.647,96.079,33.6,15524.995,80.28,0.794
Asia,Cambodia,16.927,0,90.672,25.6,3645.07,69.82,0.582
Asia,Iraq,10177.338,247.871,88.125,20,15663.986,70.6,0.685
Africa,Kenya,779.914,14.636,87.324,20,2993.028,66.7,0.59
Asia,Timor,21.996,0,87.176,18,6570.102,69.5,0.625
Europe,Romania,8340.974,287.717,85.129,43,23313.199,76.05,0.811
Europe,Greece,2212.403,44.325,83.479,45.3,24574.382,82.24,0.87
North America,Honduras,8566.922,255.235,82.805,24.9,4541.795,75.27,0.617
Europe,Macedonia,10172.412,383.991,82.6,39.1,13111.214,75.8,0.757
Africa,Senegal,914.182,18.813,82.328,18.7,2470.58,67.94,0.505
Asia,Myanmar,559.403,12.737,81.721,29.1,5591.597,67.13,0.578
Asia,Brunei,333.727,6.857,81.347,32.4,71809.251,75.86,0.853
Europe,Serbia,5144.464,112.718,80.291,41.2,14048.881,76,0.787
Africa,Morocco,4252.063,72.743,80.08,29.6,7485.013,76.68,0.667
Africa,Swaziland,4909.651,98.262,79.492,21.5,7738.975,60.19,0.588
Europe,Ukraine,6187.143,117.369,77.39,41.4,7894.393,72.06,0.751
Oceania,French Polynesia,11352.633,39.159,77.324,32.7,NA,77.66,NA
Africa,Cote d'Ivoire,765.137,4.549,76.399,18.7,3601.006,57.78,0.492
Asia,Uzbekistan,1848.237,15.298,76.134,28.2,6253.104,71.72,0.71
Africa,Tunisia,2754.637,40.445,74.228,32.7,10849.297,76.7,0.735
Europe,Croatia,5113.673,80.385,73.726,44,22669.797,78.49,0.831
Africa,Lesotho,842.571,19.606,73.562,22.2,2851.153,54.33,0.52
Africa,Burkina Faso,110.27,3.014,70.151,17.6,1703.102,61.58,0.423
Europe,Ireland,8943.059,370.611,69.874,38.7,67335.293,82.3,0.938
Europe,Bosnia and Herzegovina,9501.602,288.648,68.496,42.5,11713.895,77.4,0.768
South America,Ecuador,8398.26,693.474,66.939,28.1,10581.936,77.01,0.752
North America,Mexico,6401.321,654.76,66.444,29.3,17336.469,75.05,0.774
Africa,Guinea-Bissau,1211.891,20.325,66.191,19.4,1548.675,58.32,0.455
Europe,Bulgaria,3709.319,132.835,65.18,44.7,18563.307,75.05,0.813
Asia,Georgia,3218.961,25.569,65.032,38.7,9745.079,73.77,0.78
Africa,Tanzania,8.521,0.352,64.699,17.7,2683.304,65.46,0.538
Asia,Tajikistan,1079.617,8.283,64.281,23.3,2896.913,71.1,0.65
North America,Panama,28111.824,581.955,55.133,29.7,22267.037,78.51,0.789
Asia,Afghanistan,1027.375,38.019,54.422,18.6,1803.987,64.83,0.498
Asia,Yemen,68.933,20.016,53.508,20.3,1479.147,66.12,0.452
Africa,Guinea,847.801,5.33,51.755,19,1998.926,61.6,0.459
North America,Nicaragua,808.054,23.247,51.667,27.3,5321.444,74.48,0.658
Africa,Cameroon,803.628,15.935,50.885,18.8,3364.926,59.29,0.556
Asia,Iran,6052.758,346.1,49.831,32.4,19082.62,76.68,0.798
Oceania,Fiji,35.697,2.231,49.562,28.6,8702.975,67.44,0.741
Africa,Liberia,271.073,16.213,49.127,19.2,752.788,64.1,0.435
Europe,Belarus,8944.981,95.88,46.858,40.3,17167.967,74.79,0.808
Africa,South Africa,11710.544,303.969,46.754,27.3,12294.876,64.13,0.699
Europe,Montenegro,22717.502,339.138,46.28,39.1,16409.288,76.88,0.814
Africa,Equatorial Guinea,3610.873,59.16,45.194,22.4,22604.873,58.74,0.591
Europe,Lithuania,2338.472,38.938,45.135,43.5,29524.265,75.93,0.858
Africa,Eritrea,116.737,0,44.304,19.3,1510.459,66.32,0.44
South America,Colombia,18161.274,553.054,44.223,32.2,13254.949,77.29,0.747
Africa,Madagascar,605.034,8.559,43.951,19.6,1416.44,67.04,0.519
Africa,Zimbabwe,540.674,15.475,42.729,19.6,1899.775,61.49,0.535
Africa,Djibouti,5493.916,61.741,41.285,25.4,2705.406,67.11,0.476
North America,Bahamas,13129.12,274.636,39.497,34.3,27717.847,73.92,0.807
Africa,Mozambique,328.199,2.336,37.728,17.7,1136.103,60.85,0.437
North America,Turks and Caicos Islands,17976.135,154.967,37.312,NA,NA,80.22,NA
South America,Venezuela,2967.758,24.968,36.253,29,16745.022,72.06,0.761
Africa,Democratic Republic of Congo,121.38,3.071,35.879,17,808.133,60.68,0.457
North America,United States,23736.106,652.267,35.608,38.3,54225.446,78.86,0.924
Europe,Faeroe Islands,9761.588,0,35.308,NA,NA,80.67,NA
Asia,Kyrgyzstan,7694.594,167.684,32.333,26.3,3393.474,71.45,0.672
Europe,Latvia,1505.671,21.737,31.212,43.9,25063.846,75.29,0.847
Europe,Estonia,2946.012,51.261,31.033,42.7,29481.252,78.74,0.871
Asia,Laos,3.161,0,29.715,24.4,6397.36,67.92,0.601
South America,Peru,25900.097,1013.562,25.129,29.1,12236.706,76.74,0.75
South America,Brazil,24057.406,710.38,25.04,33.5,14103.452,75.88,0.759
South America,Chile,25333.475,700.767,24.282,35.4,22767.037,80.18,0.843
Africa,Angola,197.406,6.663,23.89,16.8,5819.495,61.15,0.581
Africa,Somalia,243.123,6.229,23.5,16.8,NA,57.4,NA
Africa,Sudan,312.229,19.065,23.258,19.7,4466.507,65.31,0.502
Africa,Zambia,847.859,18.766,22.995,17.7,3689.251,63.89,0.588
Asia,Bhutan,405.644,0,21.188,28.6,8708.597,71.78,0.612
South America,Uruguay,672.764,14.682,19.751,35.6,20551.409,77.91,0.804
Oceania,Papua New Guinea,64.267,0.782,18.22,22.6,3823.194,64.5,0.544
Oceania,New Zealand,314.792,5.184,18.206,37.9,36085.843,82.29,0.917
Europe,Finland,2255.845,62.447,18.136,42.8,40585.721,81.91,0.92
Africa,Algeria,1217.736,41.459,17.348,29.1,13913.839,76.88,0.754
South America,Paraguay,7177.958,155.345,17.144,26.5,8827.01,74.25,0.702
Africa,Niger,49.697,2.85,16.955,15.1,926,62.42,0.354
North America,Belize,6501.166,98.083,16.426,25,7824.362,74.62,0.708
South America,Argentina,20289.993,543.679,16.177,31.9,18933.907,76.67,0.825
Africa,Congo,934.381,16.672,15.405,19,4881.406,64.57,0.606
Oceania,New Caledonia,94.574,0,15.342,33.4,NA,77.55,NA
Asia,Saudi Arabia,9768.78,146.12,15.322,31.9,49045.411,75.13,0.853
Africa,Mali,162.759,6.518,15.196,16.4,2014.306,59.31,0.427
Asia,Oman,20994.896,206.203,14.98,30.7,37960.709,77.86,0.821
Europe,Norway,2884.763,51.095,14.462,39.7,64800.057,82.4,0.953
Africa,Chad,80.422,5.601,11.833,16.7,1768.153,54.24,0.404
South America,Bolivia,11901.11,715.41,10.202,25.4,6885.829,71.51,0.693
